category,test_code,uzl_test_name,menu
GENEESMIDDELENDOSERING,5130,Cyclosporine-A (dal) (bloed),standard
GENEESMIDDELENDOSERING,5136,Tacrolimus (bloed),standard
GENEESMIDDELENDOSERING,5080,Mycophenolaat (bloed),standard
GENEESMIDDELENDOSERING,5081,Sirolimus (bloed),standard
GENEESMIDDELENDOSERING,5131,Cyclosporine-A (C2) (bloed),standard
GENEESMIDDELENDOSERING,5082,Everolimus (bloed),standard
GENEESMIDDELENDOSERING,5077,Theofylline (bloed),standard
GENEESMIDDELENDOSERING,5071,Fenobarbital (bloed),standard
GENEESMIDDELENDOSERING,5072,Fenytoïne (bloed),standard
GENEESMIDDELENDOSERING,5073,Carbamazepine (bloed),standard
GENEESMIDDELENDOSERING,5074,Valproïnezuur (bloed),standard
GENEESMIDDELENDOSERING,5026,Ethosuximide (bloed),standard
GENEESMIDDELENDOSERING,5027,Clonazepam,standard
GENEESMIDDELENDOSERING,5033,Lamotrigine (bloed),standard
GENEESMIDDELENDOSERING,5127,Methotrexaat (bloed) - afname na 24 h,standard
GENEESMIDDELENDOSERING,5128,Methotrexaat (bloed) - afname na 48 h,standard
GENEESMIDDELENDOSERING,5129,Methotrexaat (bloed) - afname na 72 h,standard
GENEESMIDDELENDOSERING,5126,Methotrexaat (bloed) - afname na xx h,standard
GENEESMIDDELENDOSERING,6042,Infliximab,standard
GENEESMIDDELENDOSERING,6063,Adalimumab bloedspiegel (incl. anti-adalimumab as indien van toepassing),standard
GENEESMIDDELENDOSERING,6061,Vedolizumab bloedspiegel,standard
,31,Enterovirus snelle PCR (STAT) (CSV),extended
,40,Opzoeken van MRSA (neus/perineum),extended
,41,Opzoeken VRE (rectale wisser),extended
,44,Opzoeken Pseudomonas aeruginosa (stuit),extended
,45,Respiratoir specimen Fungi (sputum),extended
,46,Respiratoir specimen Fungi (bronchusasp.),extended
,47,Respiratoir specimen Fungi (BAL),extended
,49,Respiratoir specimen Fungi (Mucopatient),extended
,50,Opzoeken Pseudomonas aeruginosa (wonde),extended
,66,Punctievocht Fungi (lumbaalvocht),extended
,67,Punctievocht Fungi (ventrikelvocht),extended
,83,Cytologisch onderzoek (bloed),extended
,108,Bezinkingssnelheid RBC (bloed),extended
,112,Dermatofyten (huid),extended
,113,Dermatofyten (haar),extended
,114,Dermatofyten (nagel),extended
,115,Dermatofyten (andere),extended
,121,Pseudotrombopenie (bloed),extended
,123,Fragmentocyten bepaling (bloed),extended
,220,Glucose dagprofiel (bloed),extended
,247,Glucose (t/m 180 min) OGTT na 100 g Glc (bloed),extended
,248,Insuline (t/m 180 min) OGTT na 100 g Glc (zwangere) (bloed),extended
,267,Glucose (Insulinetolerantietest) (bloed),extended
,297,C-peptide om ... u (bloed),extended
,312,C-peptide OGTT na 75g Glc (bloed),extended
,313,Groeihormoon OGTT na 75g Glc (bloed),extended
,370,ACTH (Insulinetolerantietest) (bloed),extended
,380,Glucose (Glucagontest) (bloed),extended
,405,TSH (t/m 60 min) TRH test (bloed),extended
,471,Insuline om ... u (bloed),extended
,546,Prolactine (t/m 60 min) TRH test (bloed),extended
,547,Parathormoon (PTH) 1-84 bij Calciumstimulatietest (bloed),extended
,561,Fosfaat bij Calciumstimulatietest (bloed),extended
,570,Calcium bij Calciumstimulatietest (bloed),extended
,576,Calcium geïoniseerd bij Calciumstimulatietest (bloed),extended
,590,Groeihormoon na GHRH (bloed),extended
,591,Groeihormoon na arginine (bloed),extended
,592,Groeihormoon na GHRH en arginine (bloed),extended
,634,Groeihormoon na inspanning (bloed),extended
,651,Cortisol (Insulinetolerantietest)(bloed),extended
,652,Groeihormoon (Insulinetolerantietest) (bloed),extended
,653,Prolactine (Insulinetolerantietest) (bloed),extended
,695,ACTH dagprofiel (bloed),extended
,760,Kappa/Lambda (urinedebiet),extended
,776,Immunofixatie onder behandeling wegens paraproteïnemie (bloed),extended
,804,Groeihormoon dagprofiel (bloed),extended
,815,Vrij Cortisol (bloed),extended
,819,Cortisol dagprofiel (bloed),extended
,823,Cortisol namiddag 16-20u (bloed),extended
,826,Cortisolemie profiel (Bijniersuppressie na 2d 2mg dexa) (bloed),extended
,833,ACTH profiel (Bijniersuppressie na 2d 2mg dexa) (bloed),extended
,845,Cortisol na ACTH & dexa (Korte ACTH) (bloed),extended
,852,SHBG 0 min (Korte ACTH) (bloed),extended
,881,17-hydroxyprogesteron (Korte ACTH) (bloed),extended
,882,Androsteendion (Korte ACTH stimulatie) (bloed),extended
,883,Testosteron (Korte ACTH stimul.) (bloed),extended
,884,DHEAS (Korte ACTH stimulatie) (bloed),extended
,908,Insuline As (bloed),extended
,909,Insuline dagprofiel (bloed),extended
,919,C-peptide 1 u na maal (bloed),extended
,940,Vrij testosterone (bloed),extended
,980,"24,25-dihydroxy-vitamine D (bloed)",extended
,1000,Gentamicine (DALWAARDE vóór toediening) (bloed),extended
,1002,Gentamicine (vóór dialyse) (bloed),extended
,1003,Gentamicine (na dialyse) (bloed),extended
,1004,Tobramycine (DALWAARDE vóór toediening) (bloed),extended
,1005,Tobramycine (PIEKWAARDE na toediening) (bloed),extended
,1006,Tobramycine (vóór dialyse) (bloed),extended
,1007,Tobramycine (na dialyse) (bloed),extended
,1008,Amikacine (DALWAARDE vóór toediening) (bloed),extended
,1009,Amikacine (PIEKWAARDE na toediening) (bloed),extended
,1010,Amikacine (vóór dialyse) (bloed),extended
,1011,Amikacine (na dialyse) (bloed),extended
,1012,Tobramycine (DALWAARDE bij mucopatiënt) (bloed),extended
,1013,Tobramycine (PIEKWAARDE bij mucopatiënt) (bloed),extended
,1016,Vancomycine (DALWAARDE vóór toediening) (bloed),extended
,1018,Vancomycine (vóór dialyse) (bloed),extended
,1019,Vancomycine (na dialyse) (bloed),extended
,1024,Vancomycine (continu infuus) (bloed),extended
,1027,Voriconazol (DALWAARDE vóór toediening) (bloed),extended
,1028,Isavuconazole (DALWAARDE vóór toediening) (bloed),extended
,1029,Fluconazole (DALWAARDE vóór toediening) (bloed),extended
,1030,Posaconazole (DALWAARDE vóór toediening) (bloed),extended
,1031,Itraconazole (DALWAARDE vóór toediening) (bloed),extended
,1050,Positieve cultuur met mycobacteriën? (diversen),extended
,1051,Positieve cultuur met mycobacteriën? (sputum),extended
,1052,Positieve cultuur met mycobacteriën? (bronchusasp.),extended
,1053,Positieve cultuur met mycobacteriën? (BAL),extended
,1055,Gevoeligheidsbepaling EM gekweekte fungus,extended
,1056,Identificatie EM gekweekte fungus,extended
,1246,HbA1c pediatrie STAT (bloed),extended
,1501,Mycobacterium tuberculosis PCR (sputum),extended
,1502,Mycobacterium tuberculosis PCR (bronchusaspiraat),extended
,1503,Mycobacterium tuberculosis PCR (bronchuslavage/BAL),extended
,1504,Respiratoir panel (bronchus- of endotracheaal asp.),extended
,1520,Pneumocystis jiroveci PCR (bronchus- of endotracheaal asp.) (REF. LAB),extended
,1525,Mycobacterium tuberculosis PCR (diversen),extended
,1526,Mycobacterium tuberculosis PCR (resp.specimen) (Mucopatiënt),extended
,1528,Mycoplasma pneumoniae PCR (diversen),extended
,1554,Cryptosporidium opsporen (faeces),extended
,1581,Mycobacterium tuberculosis/Rifampicine: snelle PCR (sputum),extended
,1582,Mycobacterium tuberculosis/Rifampicine: snelle PCR (bronchusaspiraat),extended
,1583,Mycobacterium tuberculosis/Rifampicine: snelle PCR (bronchuslavage/BAL),extended
,1585,Mycobacterium tuberculosis/Rifampicine: snelle PCR (diversen),extended
,1637,Aspergillus antigeen (CSV),extended
,1638,Aspergillus antigeen (bloed),extended
,1639,Aspergillus antigeen (BAL),extended
,1717,Cryptococcus antigeen (CSV),extended
,1719,Streptococcus pneumoniae Ag detectie (pleuravocht),extended
,1720,Cultuur (urine via punctie nier),extended
,1721,Cultuur (urine op uricult),extended
,1730,Opzoeken van Helicobacter pylori in maagbiopt,extended
,1731,Cryptococcus antigeen (bloed),extended
,1736,Clostridioides difficile toxine (faeces),extended
,1737,Cultuur (sonicatie),extended
,1748,Cultuur bij vermoeden kathetersepsis (bloed),extended
,1749,Cultuur bij vermoeden kathetersepsis bij pediatrische patiënten (bloed),extended
,1750,Cultuur bij vermoeden bacteriëmie/fungemie (bloed),extended
,1751,Cultuur bij vermoeden bacteriëmie/fungemie bij pediatrische patiënten (bloed),extended
,1752,Cultuur bij vermoeden endocarditis (bloed),extended
,1753,Cultuur bij vermoeden endocarditis bij pediatrische patiënten (bloed),extended
,1754,Respiratoir specimen cultuur (sputum),extended
,1755,Respirat. specimen cultuur (bronchusasp),extended
,1756,Respiratoir specimen cultuur (BAL),extended
,1757,Legionella kweek (BAL),extended
,1758,Respirat. specimen cultuur sinus (Mucopatient),extended
,1759,Respirat. specimen cultuur (Mucopatient),extended
,1760,Pneumocystis jiroveci PCR (BAL) (REF. LAB),extended
,1763,NKO-Oftalmologie Cultuur(keel/mondholte),extended
,1764,NKO-Oftalmologie Cultuur (neus/asp.),extended
,1765,NKO-Oftalmologie Cultuur (oor),extended
,1766,NKO-Oftalmologie Cultuur (sinus),extended
,1767,NKO-Oftalmologie Cultuur (oog),extended
,1770,Trilhaaronderzoek,extended
,1777,Prostaatvocht cultuur (EPS),extended
,1779,Cultuur (urine via intermittente katheterisatie),extended
,1780,Genitale monsters Cultuur (vagina),extended
,1781,Genitale monsters Cultuur (cervix),extended
,1782,Genitale monsters Cultuur (urethra),extended
,1783,Genitale monsters Cultuur (sperma),extended
,1784,Cultuur Streptococcus agalactiae (vagino-rectale wisser),extended
,1786,Cultuur (etter op cathetertip in bloedbaan),extended
,1788,Cultuur (etter op ander materiaal),extended
,1790,Weefsel/biopten Cultuur,extended
,1797,Cultuur (etter uit redonvocht),extended
,1800,Cultuur (etter uit drainage/wondvocht),extended
,1802,Cultuur (diabetische voet),extended
,1805,Punctievocht Cultuur (lumbaalvocht),extended
,1806,Punctievocht Cultuur (ventrikelvocht),extended
,1807,Punctievocht Cultuur (pleuravocht),extended
,1808,Punctievocht Cultuur (pericardvocht),extended
,1809,Punctievocht Cultuur (gewrichtsvocht),extended
,1810,Punctievocht Cultuur (ander punctiev.),extended
,1811,Punctievocht Cultuur (ascites/peritoneaalvocht),extended
,1820,Cultuur (faeces),extended
,1824,Cultuur (andere monsters),extended
,1828,Respirat. specimen mycobacteriën (Mucopatiënt),extended
,1830,Mycobacteriën (BK) (sputum),extended
,1831,Mycobacteriën (BK) (maagvocht),extended
,1832,Mycobacteriën (BK) (urine),extended
,1833,Mycobacteriën (BK) (lumbaalvocht),extended
,1834,Mycobacteriën (BK) (faeces),extended
,1835,Mycobacteriën (BK) (andere monsters),extended
,1836,Mycobacteriën (BK) (BAL),extended
,1839,Selectieve antimicrobiële modulatie + Fungi (maagvocht),extended
,1840,Selectieve antimicrobiële modulatie + Fungi (faeces/lies/perineum),extended
,1842,Selectieve antimicrobiële modulatie + Fungi (neus),extended
,1843,Kweek van Fungi (urine),extended
,1845,Parasieten opsporen (faeces),extended
,1846,Parasieten opsporen (gal/duodenumvocht),extended
,1847,Parasieten opsporen (andere monsters),extended
,1848,Malaria opzoeken in bloed (dikdruppel + antigeen),extended
,2002,Hepatitis A virus IgG (bloed),extended
,2003,Hepatitis A virus IgM (bloed),extended
,2006,Hepatitis B virus surface antigeen (bloed),extended
,2007,Hepatitis B virus surface Ag confirmatie (bloed),extended
,2008,Hepatitis B virus surface antistoffen (bloed),extended
,2009,Hepatitis B virus core antistof. (bloed),extended
,2010,Hepatitis B virus e Ag (bloed),extended
,2011,Hepatitis B virus e As (bloed),extended
,2012,Hepatitis B PCR bij HBsAg positieve patiënt in opvolging behandeling (bloed),extended
,2017,Hepatitis C virus antistoffen (bloed),extended
,2019,Hepatitis C virus antistoffen confirmatie (bloed),extended
,2022,Hepatitis E virus antistoffen (bloed),extended
,2024,Hepatitis B PCR bij HBsAg positieve patiënt vóór start behandeling (bloed),extended
,2025,HIV Ag/Ab (bloed),extended
,2026,HTLV-I & II antistoffen (bloed),extended
,2027,HTLV confirmatie antistoffen (bloed),extended
,2028,HIV confirmatie (bloed),extended
,2030,Hepatitis C virus genotypering bij start therapie (bloed),extended
,2037,Adenovirus PCR (wisser oog),extended
,2039,Hepatitis B PCR bij HBsAg positieve patiënt bij heropflakkering hepatitis (bloed),extended
,2040,Hepatitis C PCR bij kind van HCV positieve moeder (bloed),extended
,2041,Hepatitis C PCR bij HCV As positieve patiënt (bloed),extended
,2042,Hepatitis C PCR bij immuungecompromitteerden (bloed),extended
,2043,Hepatitis C PCR bij prikaccident met HCV positieve persoon (bloed),extended
,2046,Hepatitis C PCR in start / opvolging behandeling (bloed),extended
,2051,Vitamine B6 (pyridoxaalfosfaat) (volbloed),extended
,2072,"Cytomegalovirus IgG (zwanger, vermoeden acute infectie) (bloed)",extended
